comment,Comment to English,Emoji to text
ভাই আমাদের মেট্রোরেল মাটির নিচ দিয়ে চলে,Brother runs through our Metrorail ground,Brother runs through our Metrorail ground
ভাই আমিও মিরপুর ১০ এটা নিয়ে কথা কাটা হয়েছে আপনাদের ধন্যবাদ এ বিষয়টি সরকারের নজরে দেয়া উচিৎ। উত্তরা স্টেশন গুলোতে টাকা দেয়া লাগেনা।,"Brother, I am also talking about it. Thank you thanks to the government. Uttara stations do not have to pay.","Brother, I am also talking about it. Thank you thanks to the government. Uttara stations do not have to pay."
ভাই এই টিকেট কয়দিন ইউজ করা যাবে,Brother how many days can this ticket be used,Brother how many days can this ticket be used
ভাই এইসবের একটা ব্যবস্থা করা দরকার,Brother needs to make an arrangement of these,Brother needs to make an arrangement of these
ভাই এম আর টি লাইন ৫ সাউদ নিয়ে বিস্তারিত ভিডিও চাই🙏,Brother MRT Line 3 Saud wants detailed video,Brother MRT Line 3 Saud wants detailed video
ভাই এয়ারপোর্টের মতো এখানে কি টয়লেট ব্যাবহার করলে টাকা দিতে হয়,"If you use the toilet here like a brother airport, you have to pay money","If you use the toilet here like a brother airport, you have to pay money"
ভাই ওখান থেকে কি মাদারীপুরে যাওয়া যায় মেট্রোরেল দিয়ে,Brother can go from there to Madaripur with Metrorail,Brother can go from there to Madaripur with Metrorail
ভাই টার্নেলের কি অবচ্ছা এখন,What a disappear of Brother Turnel,What a disappear of Brother Turnel
ভাই টিকেট গুলা মান্থলি নেনা প্রতিদিনের টিকেট প্রতিদিন ইউজ হয়,Brother tickets are used everyday tickets to Nena Nena,Brother tickets are used everyday tickets to Nena Nena
ভাই তোমাকে অনেক ধন্যবাদ তুমি খুব সুন্দর করে উপস্থাপন কর তোমার জন্যে অনেক অনেক  ভালবাসা ও দোয়া রইলো।,Brother thank you very much. You present very nicely for you a lot of love and blessings.,Brother thank you very much. You present very nicely for you a lot of love and blessings.
ভাই তোমার উপস্থাপনা খুব সুন্দর 🇧🇩😍,Brother your presentation is very nice 🇧🇩😍,Brother your presentation is very nice flag: Bangladeshsmiling face with heart-eyes
ভাই মআরটি লাইন,Brother,Brother
ভাই মেট্রোরেল এ ওয়াশরুম এ টাকা নেওয়া নিয়ে একটা ভিডিও বানান,Brother Metrorail make a video about taking money at the washroom,Brother Metrorail make a video about taking money at the washroom
ভাই মেট্রোরেল কি শুক্রবার খোলা থাকবে,Brother Metrorail keys will open Friday,Brother Metrorail keys will open Friday
ভাই যার নাম বাংলাদেশ যতই ডিজিটাল স্মাট বাংলাদেশ হোক চুরিটা আগে থেকে ঠিক করা থাকে,"Brother whose name is Bangladesh, as much as digital smart Bangladesh, theft is already fixed.","Brother whose name is Bangladesh, as much as digital smart Bangladesh, theft is already fixed."
ভাই সত্যি অনেক ভালো লাগলো...এগিয়ে যাচ্ছে আমাদের বাংলাদেশ।এতো সুন্দর একটি ডকুমেন্টারি তৈরী করার জন্য আপনাকে ধন্যবাদ,Brother really liked ... Our Bangladesh is moving forward. Thank you for creating such a beautiful documentary.,Brother really liked ... Our Bangladesh is moving forward. Thank you for creating such a beautiful documentary.
ভাই সম্পূর্ণ মেট্রোরেল( ১ ৬ ) বিষয়ে বড় করে একটি বিস্তারিত ভিডিও দিলে ভালো হয়...🙃🙃🙃,Brother Metrorail (1) is better giving a detailed video on topic ... 1,Brother Metrorail (1) is better giving a detailed video on topic ... 1
ভাইয়া আপনার উপস্থাপনা আমার খুব ভালো লাগে অনেক সুন্দর গুছিয়ে কথা বলেন ব্যাখ্যা দিয়ে সুন্দর কথা বলেন আমার  অনুরোধ আপনার কাছে ঢাকা দক্ষিণ ও উত্তর  সিটি কর্পোরেশন প্রতিটি খেলার মাঠের একটি করে ভিডিও আপনে দেখার ব্যবস্থা করুন আমাদের। আর ঢাকা শহরের  একটি করে ঐতিহ্যবাহী প্রাচীন আমলের স্থাপনা গুলো একটু দেখাবেন এবং আপনার প্রতিবেদনে তুলে ধরবেন। আপনার ক্ষুদ্র   দর্শক হিসাবে আপনি আমার কথা রাখবেন । অগ্রিম ধন্যবাদ আপনাকে ❤,"Brother, your presentation is very good to me, I speak beautifully by explaining my request, my request is to arrange for you to watch one video of each playground in Dhaka South and North City Corporation. And one of the traditional ancient times of Dhaka City will show a little and highlight your report. As your minor visitors you will keep my word. Thank you in advance","Brother, your presentation is very good to me, I speak beautifully by explaining my request, my request is to arrange for you to watch one video of each playground in Dhaka South and North City Corporation. And one of the traditional ancient times of Dhaka City will show a little and highlight your report. As your minor visitors you will keep my word. Thank you in advance"
ভাইয়া আমি মেট্রো রেল দিয়ে মিরপুর 10 থেকে মতিঝিল কিভাবে যাব,Brother I will go to Motijheel from Mirpur 10 with Metro Rail,Brother I will go to Motijheel from Mirpur 10 with Metro Rail
ভাড়া অর্ধেক করলে যাত্রী চারগুণ হবে,If the rent is half the passenger will be fourfold,If the rent is half the passenger will be fourfold
ভাড়া কত,How much is the rent,How much is the rent
ভাড়া কমান,Reduce the rent,Reduce the rent
ভাড়া কমানো উচিত,Should reduce the rent,Should reduce the rent
ভাড়া টা কমানো উচিত,Should reduce the rent,Should reduce the rent
ভাড়া ঠিক আছে,The rent is OK,The rent is OK
ভাড়া ঠিক আছে,The rent is OK,The rent is OK
ভাড়া যেন মানুষের সীমার মধ্যেই থাকে ❤,The rent is within the limits of human beings,The rent is within the limits of human beings
ভাড়াটা তুলনামূলক বেশি একটু কম হলে সবার জন্য সুবিধা হয় মতিঝিল পর্যন্ত চালু হলে ভাড়া অনেক টাকা পড়বে যেটা দিয়ে যাতায়াত করার সামর্থ্য ম্যাক্সিমামের হবে না,"If the rent is relatively low, the benefit for everyone is to be launched up to Motijheel, the rent will be a lot of money that will not be able to travel through Maximam.","If the rent is relatively low, the benefit for everyone is to be launched up to Motijheel, the rent will be a lot of money that will not be able to travel through Maximam."
ভারত থেকে দেখছি। এগিয়ে যাক বাঙালি।,Watching from India. Let's go ahead.,Watching from India. Let's go ahead.
ভারত থেকে দেখছি। এগিয়ে যাক বাঙালি।,Watching from India. Let's go ahead.,Watching from India. Let's go ahead.
ভারত থেকে বাংলাদেশে আসার জন্য অনেক অনেক অভিনন্দন ও ভালোবাসা অবিরাম দাদা,Many congratulations and love for coming from India to Bangladesh,Many congratulations and love for coming from India to Bangladesh
ভারত থেকে বাংলাদেশে এসে ব্লগ বানানোর জন‍্য অভিন্দন👌👌👌💕💕💕,Blogs come from India to Bangladesh,Blogs come from India to Bangladesh
ভারতে এর চাইতে ও কম বাড়া,In India,In India
ভারতে মেট্রো রেল চালু ৮৪ সালে,Metro Rail launched in India in the 5th,Metro Rail launched in India in the 5th
ভারতের সব মেট্রো স্টেশনে AC আছে,All metro stations in India have AC,All metro stations in India have AC
ভারতের সব মেট্রো স্টেশনে এসি আছে ❤️❤️,All metro stations in India have AC,All metro stations in India have AC
ভারতের সব মেট্রোতে অক আছে,All metros in India have oak,All metros in India have oak
ভারা অতিরিক্ত করা হইসে। এতো টাকা দিয়ে কেন মানুষ বাস রেখে এখানে যাবে,The fear is over. Why do people leave the bus with so much money,The fear is over. Why do people leave the bus with so much money
ভাল লাগলো দাদা। আমাদের দেশে এসে বাংলাদেশকে তুলে ধরার জন্যে। আর আপনার মিস্টি  কথা খুব ভাল লাগছে।,Good grandfather. Come to our country to raise Bangladesh. And your Misty talk is very good.,Good grandfather. Come to our country to raise Bangladesh. And your Misty talk is very good.
ভালো,Good,Good
ভালো উদ্যোগ,Good initiative,Good initiative
ভালো খবর ...... 😐😐,Good news ...... 😐😐,Good news ...... neutral faceneutral face
ভালো লাগলো আপনার ভিডিও দেখে কিন্তু একটা প্রশ্ন থেকে যাই যে কাড সিস্টেম ব্যবহার করা উচিত যাতে করে পরে বার আর সিরিল দরে টিকিট কাটাতে না হয়।।। কাড টাকা রিচাজ করলে ব্যবহার করেলে হবে।।।।বাহিরে সব সিস্টেম।।।। এই উদাহরণ নেওয়া উচিত।।।।,"It was nice to watch your video but from a question that the cod system should be used so that you do not have to cut the ticket at the bar and serial rates later. If you use the cod money, it will be used ... all the systems outside. This example should be taken.","It was nice to watch your video but from a question that the cod system should be used so that you do not have to cut the ticket at the bar and serial rates later. If you use the cod money, it will be used ... all the systems outside. This example should be taken."
ভালো লাগলো আবার বাংলাদেশে দেখে❤️,It was nice to see Bangladesh again,It was nice to see Bangladesh again
ভালো লাগলো দেখে...দোয়া করি আমার দেশ এগিয়ে যাক... ভূল গুলো থেকে তারা বেরিয়ে আসুক...  স্পেশাল ধন্যবাদ কলকাতা ভারতীয় এই ভাই কে...এত সুন্দর করে উপস্থাপন করার জন্য... দুই বাংলার মিল বন্ধন সো দৃঢ় হউক...,It was nice to see ... I pray my country forward ... Let them come out of the mistakes ... Special thanks Kolkata Indian brother ... To present so beautifully ... The two Bangla mill bonds so strong. ...,It was nice to see ... I pray my country forward ... Let them come out of the mistakes ... Special thanks Kolkata Indian brother ... To present so beautifully ... The two Bangla mill bonds so strong. ...
ভালো লাগলো।,Good,Good
ভালোই লাগলো👌😍,Felt good,Felt good
ভালোবাসা অবিরাম বাংলাদেশ থেকে দাদা 🇧🇩❤️🇮🇳 আপনি দয়া করে ঢাকার গুলশান এবং বনানী এলাকার মডার্ন এরিয়া গুলো তুলে ধরবেন । অবশ্যই যমুনা ফিউচার পার্ক যেটা কিনা দক্ষিণ এশিয়ার সবচেয়ে বড় শপিং মল,"Love is endless Bangladesh. Certainly Jamuna Future Park, which is the largest shopping mall in South Asia","Love is endless Bangladesh. Certainly Jamuna Future Park, which is the largest shopping mall in South Asia"
ভালোবাসা অভিরাম শেখের বেটি,Love,Love
ভালোবাসা বাংলাদেশ থেকে।,Love is from Bangladesh.,Love is from Bangladesh.
ভালোবাসা রইলো ভারতবাসীর জন্য ও,Love for the Indians,Love for the Indians
ভিক্ষুক,Beggar,Beggar
ভিডিও দেখি খুশি হওয়ার কিছুই নাই,There's nothing to be happy to watch the video,There's nothing to be happy to watch the video
ভিডিও দেখেই বোঝা যাচ্ছে ঢাকা মেট্রো খুব সুন্দর হয়েছে।,The video shows that the Dhaka Metro has been very nice.,The video shows that the Dhaka Metro has been very nice.
ভিডিওটি অনেক ভালো লাগলো ভাইয়া ধন্যবাদ আপনাকে আমাদের বাংলাদেশের মেট্রো রেল কে তুলে ধরার জন্য ধন্যবাদ।,"The video was very good, thanks to you, thanks to you for highlighting our Metro Rail in Bangladesh.","The video was very good, thanks to you, thanks to you for highlighting our Metro Rail in Bangladesh."
ভিডিওটি চমৎকার এবং উপভোগ্য ছিলো,The video was nice and enjoyable,The video was nice and enjoyable
ভিডিওতে আপনার চ্যানেলের একটি লগো থাকলে ভাল হত।,It would have been nice to have a logo on your channel in the video.,It would have been nice to have a logo on your channel in the video.
ভুমিকম্পে কী হবে?? Metro ই ঠিক আছে পাতাল দরকার নাই,What will happen to the earthquake ?? Metro e Okay is not needed to be subway,What will happen to the earthquake ?? Metro e Okay is not needed to be subway
ভুলতা গাউছিয়া পর্যন্ত হলে আড়াই হাজার থেকে ঢাকায় এসে চাকরি করে বাড়ি ফিরে যাবে ধন্যবাদ মাননীয় প্রধানমন্ত্রীকে বেঁচে থাকুক শেখ হাসিনা অনেক বছর,Sheikh Hasina will come home from two and a half thousand to Dhaka to come home from the wrong to Gauchiya for many years.,Sheikh Hasina will come home from two and a half thousand to Dhaka to come home from the wrong to Gauchiya for many years.
ভোর ছয়টা থেকে চালু করলে ভালো হতো,It would have been better if you launched from six o'clock in the morning,It would have been better if you launched from six o'clock in the morning
ভ্রমণ বিলাসিতার পর্যায়ে পডরে,Poder at the stage of travel luxury,Poder at the stage of travel luxury
মতিঝিল এর মেট্রো ঘুরবে কিভাবে? এটার একটা ভিডিও বানাবেন তো,How to turn Motijheel's metro? Make a video of it,How to turn Motijheel's metro? Make a video of it
মতিঝিল থেকে কমলাপুর দেখতে চাই।,I want to see Kamalapur from Motijheel.,I want to see Kamalapur from Motijheel.
মতিঝিল থেকে চালু করা হলে আমার মত হাজার কলেজ শিক্ষার্থীদের জন্য সুবিধা হবে।,Launched from Motijheel will benefit for thousands of college students like me.,Launched from Motijheel will benefit for thousands of college students like me.
মতিঝিল পর্যন্ত চালু হলে অনেক আমরা বেশি সুবিধা পাব।,We will get a lot of benefits if Motijheel launches.,We will get a lot of benefits if Motijheel launches.
মতিঝিল-কমলাপুর ও দিয়াবাডী.-টঙ্গী MRT 6 এর অগ্রগতি কেমন হলো ?,What is the progress of Motijheel-Kamalapur and Diabadi.-Tongi MRT 6?,What is the progress of Motijheel-Kamalapur and Diabadi.-Tongi MRT 6?
মধ্যরাত পর্যন্ত কবে চলবে?,When will it last until midnight?,When will it last until midnight?
মধ্যরাতে হুইসেল শুনে মেট্রোরেল দেখার জন্য লুঙ্গি কাছা তুলে দৌড় দিসি 🤣🤣,Lungi koa raised to see the Metrorail listening to the whistle at midnight,Lungi koa raised to see the Metrorail listening to the whistle at midnight
মনে তো হচ্ছে ইউরোপের কোন স্টেশন,It seems like a station in Europe,It seems like a station in Europe
মনে হচ্ছে জাপানের কোন মেট্রো দেখছি। এক কথায় অস্থির।,"Looks like I see a metro in Japan. In a word, unstable.","Looks like I see a metro in Japan. In a word, unstable."
মহাখালিরটা চোখে পরে না!!!,Mohakhali does not look after !!!,Mohakhali does not look after !!!
মহাখালী বাস টার্মিনাল কে সরানো হোক,May the Mohakhali bus terminal move,May the Mohakhali bus terminal move
মা শা আল্লাহ,Mom,Mom
মাখিয়ে দেব সুখে,Makhaye Deva,Makhaye Deva
মাদারীপুর এসে বেড়িয়ে যান দাদা,Grandpa came out of Madaripur,Grandpa came out of Madaripur
মাননীয় প্রধানমন্ত্রী কে ধন্যবাদ,Thanks to the Honorable Prime Minister,Thanks to the Honorable Prime Minister
মাননীয় প্রধানমন্ত্রী জননেত্রী শেখ হাসিনার অবধান,Hon'ble Prime Minister Sheikh Hasina,Hon'ble Prime Minister Sheikh Hasina
মাননীয় প্রধানমন্ত্রী দেশরত্ন শেখ হাসিনা কে ধন্যবাদ,Thanks to Hon'ble Prime Minister Deshratna Sheikh Hasina,Thanks to Hon'ble Prime Minister Deshratna Sheikh Hasina
মাননীয় প্রধানমন্ত্রী দেশরত্ন শেখ হাসিনা।,Hon'ble Prime Minister Sheikh Hasina.,Hon'ble Prime Minister Sheikh Hasina.
মাননীয় প্রধানমন্ত্রী শেখ হাসিনা উন্নয়নের রোল মডেল আপনি আর এসব বিএনপি'র মত চোরের দলের ভালো লাগেনা জ্বালা অন্তরে অনেক জ্বালা,"Honorable Prime Minister Sheikh Hasina's role model of development, you and the thieves like these BNP do not like a lot of irritation in the heart.","Honorable Prime Minister Sheikh Hasina's role model of development, you and the thieves like these BNP do not like a lot of irritation in the heart."
মাননীয় প্রধানমন্ত্রী শেখ হাসিনা একটার পর একটা বড় বড় প্রকল্প চালু করে যাচ্ছেন।বাংলাদেশের মতো একটা গরীব দেশে টানেল মেট্রোরেল ভাবাই যায় না।কিন্তু সেই অসাধ্যকে সাধ্যের মধ্যে নিয়ে আসছেন শেখ হাসিনা।দেশে যা কিছু ভালো যতো ভালো ভালো উন্নয়ন সব উনার অবদান।,Hon'ble Prime Minister Sheikh Hasina is launching a big project after another. Tunnel Metrorail is not considered in a poor country like Bangladesh. But Sheikh Hasina is bringing that impossible.,Hon'ble Prime Minister Sheikh Hasina is launching a big project after another. Tunnel Metrorail is not considered in a poor country like Bangladesh. But Sheikh Hasina is bringing that impossible.
মাননীয় প্রধানমন্ত্রী শেখ হাসিনার কাছে  কৃতজ্ঞ,Gratitude to the Honorable Prime Minister Sheikh Hasina,Gratitude to the Honorable Prime Minister Sheikh Hasina
মাননীয় প্রধানমন্ত্রী।,Honorable Prime Minister.,Honorable Prime Minister.
মাননীয় প্রধানমন্ত্রীকে অনেক অনেক ধন্যবাদ এত সুন্দর উপহার দেওয়ার জন্য,Many thanks to the Honorable Prime Minister for giving such a beautiful gift,Many thanks to the Honorable Prime Minister for giving such a beautiful gift
মানিকগঞ্জ এ হলে তো খুব ই ভালো হবে,If Manikganj is at this time it will be very good,If Manikganj is at this time it will be very good
মানিকগঞ্জ হতে মেট্রোরেলকে সম্প্রসারণ করা হোক,Metrorail to expand from Manikganj,Metrorail to expand from Manikganj
মানিকগঞ্জ হতে মেট্রোরেলকে সম্প্রসারণ করা হোক,Metrorail to expand from Manikganj,Metrorail to expand from Manikganj
মানিকগঞ্জের জনগণের প্রাণের দাবি মানিকগঞ্জ জেলা কে রেল যোগাযোগের আওতায় আনা হোক।,The demand for the lives of the people of Manikganj should be brought under the railway communication of Manikganj district.,The demand for the lives of the people of Manikganj should be brought under the railway communication of Manikganj district.
মানুষ কেন MRT Pass করে নিচ্ছে না?,Why are people not passing MRT?,Why are people not passing MRT?
মামলা করা উচিত,Should be sued,Should be sued
মার হাবা,Beating,Beating
মালয়েশিয়া LRT হুবাহো বাংলাদেশের মতো আমি অনেক বার চড়েছি আমি সৌদি আরব থেকে দেখছি ধন্যবাদ,Malaysia LRT is just like Bangladesh I have been riding many times I am watching from Saudi Arabia thanks,Malaysia LRT is just like Bangladesh I have been riding many times I am watching from Saudi Arabia thanks
মালয়েশিয়া থেকে দেখতেছি দেশের এমন উন্নতি দেখে ভালো লাগলো এগিয়ে যাক বাংলাদেশ।,"From Malaysia, I see such a progress in the country.","From Malaysia, I see such a progress in the country."
মালয়েশিয়া থেকে।,From Malaysia.,From Malaysia.
মাশা-আল্লাহ,Masha-Allah,Masha-Allah
মাশাআল্লাহ অনেক সুন্দর,MashaAllah is so beautiful,MashaAllah is so beautiful
মাশাআল্লাহ আমার দের বাংলাদেশ ❤😆🇧🇩🇧🇩🤗নাইচ,MashaAllah is my Bangladesh Bangladesh,MashaAllah is my Bangladesh Bangladesh
মাশাললাহ,Mashalalah,Mashalalah
মাশাল্লাহ,Mashal,Mashal
মাস আল্লাহ অসাধারণ সুন্দর লাগছে ভাই আপনার,Month God looks extraordinary beautiful brother is yours,Month God looks extraordinary beautiful brother is yours
মিরপুর চিড়িয়াখানা,Mirpur zoo,Mirpur zoo
মূর্খ নেতারা আর মাথা মোটা চেয়ারে বসার জন্য মুখস্থ বিদ্যায় কমকর্তারা কত আরাম আয়েশ করে বাহানা করে মিথ্যা আশ্বাস দিয়ে অনিয়ম-দুর্নীতি করে দেশ ও বিদেশে সম্পদে পাহাড় গড়ে তুলা। সরকারের কত ক্ষতি করছে। কোন মায়া নেই দেশের প্রতি দেশ প্রেমিকের শিক্ষা নেই তাই মায়া নেই। অনিয়ম-দুর্নীতি ঘুষ তেলবাজি চুরি স্বজনপ্রীতি ভেজাল ঔষধ খাদ্য করলে পন্য দাম বাড়ানো চোরাচালান মাদক নেশা নিয়ে সিন্ডিকেট নিয়ন্ত্রণ করলে চিকিৎসা সেবা না করলে সড়ক দুর্ঘটনায় ও শৃঙ্খলা নিয়মকানুন না মানলে শিক্ষা নিয়ে ব্যবসা রাজনীতি করলে কঠোর শাস্তি দিতে হবে জরিমানা জবাবদিহিতা করতে হবে ভেজাল ঔষধ কাপড় খাবার অবৈধভাবে দখল চাঁদাবাজি করা দেখানো উচ্ছেদ অভিযান দেয় পরে আবার সিস্টেম করে নতুন ভাবে গড়ে তুলে তা বন্ধ করতে হবে। বড় পদ চাকরি টাকা লুটপাট করার জন্য মুখস্থ বিদ্যা অর্জন করা মন-মানসিকতা পরিবর্তন করতে হবে।একসঙ্গে সকল কাজ করতে হবে যেন বারে বারে কাজ করতে না হয় বাজেট টাকা লুটপাট সময় নষ্ট না হয় মানুষের কষ্ট ভোগান্তি না হয় সকল কাজ সঠিকভাবে বিশ্লেষণ করে করতে হবে। কঠোর আইন করে সকল সরকারি স্বায়ত্তশাসিত প্রশাসনের হাসপাতালে খেলাধুলা কমিটি যেন কোন অনিয়ম-দুর্নীতি ঘুষ তেলবাজি  দেশ ও দলের নাম বিক্রি করে জনগণের কষ্ট টাকা লুটপাট অবৈধভাবে দখল চাঁদাবাজি যানজট সৃষ্টি করা ব্যাংক লুটপাট করা শিক্ষা নিয়ে রাজনীতি ব্যবসা,"The fool leaders and the head of the stupid leaders to sit in the coarse chairs to build hills in the country and abroad by making irregularities and corruption by making false assurances. How much harm the government is doing. There is no Maya, there is no country lover's education for the country so there is no Maya. Irregularity-corruption bribe oils Theft is the only adulterated medicine to reduce the price of smuggling drug addicts if the syndicate controls the drug addiction, if you do not get medical care, then the business politics will be punished with the business politics. The evacuation campaign showed the extortion of the possession then the system should be closed again by the system. In order to loot the big position job money, it is necessary to change the mindset of the mental education. All the work should be done so that the budget money is not wasted or the time of looting the budget is not lost or the suffering of the people should be done properly. In all government autonomous administration hospitals, the sports committee to sell any irregular-corruption bribe oil and party names and looting the people's hardships illegal occupation of extortion traffic is the politics business business.","The fool leaders and the head of the stupid leaders to sit in the coarse chairs to build hills in the country and abroad by making irregularities and corruption by making false assurances. How much harm the government is doing. There is no Maya, there is no country lover's education for the country so there is no Maya. Irregularity-corruption bribe oils Theft is the only adulterated medicine to reduce the price of smuggling drug addicts if the syndicate controls the drug addiction, if you do not get medical care, then the business politics will be punished with the business politics. The evacuation campaign showed the extortion of the possession then the system should be closed again by the system. In order to loot the big position job money, it is necessary to change the mindset of the mental education. All the work should be done so that the budget money is not wasted or the time of looting the budget is not lost or the suffering of the people should be done properly. In all government autonomous administration hospitals, the sports committee to sell any irregular-corruption bribe oil and party names and looting the people's hardships illegal occupation of extortion traffic is the politics business business."
মূর্খ নেতারা আর মাথা মোটা চেয়ারে বসার জন্য মুখস্থ বিদ্যায় কমকর্তারা কত আরাম আয়েশ করে বাহানা করে মিথ্যা আশ্বাস দিয়ে অনিয়ম-দুর্নীতি করে দেশ ও বিদেশে সম্পদে পাহাড় গড়ে তুলা। সরকারের কত ক্ষতি করছে। কোন মায়া নেই দেশের প্রতি দেশ প্রেমিকের শিক্ষা নেই তাই মায়া নেই।বিশৃঙ্খলা অনিয়ম-দুর্নীতি ঘুষ তেলবাজি চুরি স্বজনপ্রীতি ভেজাল ঔষধ কাপড় খাদ্য করলে পন্য দাম বাড়ানো চোরাচালান মাদক নেশা নিয়ে সিন্ডিকেট নিয়ন্ত্রণ করলে চিকিৎসা সেবা না করলে সড়ক দুর্ঘটনায় ও শৃঙ্খলা নিয়মকানুন না মানলে শিক্ষা নিয়ে ব্যবসা রাজনীতি করলে কঠোর শাস্তি দিতে হবে জরিমানা জবাবদিহিতা করতে হবে। নকল ঔষধ ভেজাল কাপড় খাবার অবৈধভাবে দখল চাঁদাবাজি করা দেখানো উচ্ছেদ অভিযান দেয় পরে আবার সিস্টেম করে নতুন ভাবে গড়ে তুলে তা বন্ধ করতে হবে। বড় পদ চাকরি টাকা লুটপাট করার জন্য মুখস্থ বিদ্যা অর্জন করা মন-মানসিকতা পরিবর্তন করতে হবে। একসঙ্গে সকল কাজ করতে হবে যেন বারে বারে কাজ করতে না হয় বাজেট টাকা লুটপাট সময় নষ্ট না হয় মানুষের কষ্ট ভোগান্তি না হয় সকল কাজ সঠিকভাবে বিশ্লেষণ করে করতে হবে। কঠোর আইন করে সকল সরকারি স্বায়ত্তশাসিত প্রশাসনের হাসপাতালে খেলাধুলা কমিটি যেন কোন অনিয়ম-দুর্নীতি ঘুষ তেলবাজি  দেশ ও দলের নাম বিক্রি করে জনগণের কষ্ট টাকা লুটপাট অবৈধভাবে দখল চাঁদাবাজি যানজট সৃষ্টি করা ব্যাংক লুটপাট করা শিক্ষা নিয়ে রাজনীতি ব্যবসা,"The fool leaders and the head of the stupid leaders to sit in the coarse chairs to build hills in the country and abroad by making irregularities and corruption by making false assurances. How much harm the government is doing. There is no maya in the country, there is no education for the country's lover. There is no Maya. Irregular irregularities, bribery stolen theft, adulterated adulterated medicine fabric. Politics will have to be punished severely to the penalty. Fake medicine adulterated cloth food is illegally occupied by extortion campaigns, then the system should be closed again by the system. In order to loot the big position job money, it is necessary to change the mindset to earn memory. All the work should be done together so that the budget money is not wasted again and again, the people suffer or suffer from the suffering of the people. In all government autonomous administration hospitals, the sports committee to sell any irregular-corruption bribe oil and party names and looting the people's hardships illegal occupation of extortion traffic is the politics business business.","The fool leaders and the head of the stupid leaders to sit in the coarse chairs to build hills in the country and abroad by making irregularities and corruption by making false assurances. How much harm the government is doing. There is no maya in the country, there is no education for the country's lover. There is no Maya. Irregular irregularities, bribery stolen theft, adulterated adulterated medicine fabric. Politics will have to be punished severely to the penalty. Fake medicine adulterated cloth food is illegally occupied by extortion campaigns, then the system should be closed again by the system. In order to loot the big position job money, it is necessary to change the mindset to earn memory. All the work should be done together so that the budget money is not wasted again and again, the people suffer or suffer from the suffering of the people. In all government autonomous administration hospitals, the sports committee to sell any irregular-corruption bribe oil and party names and looting the people's hardships illegal occupation of extortion traffic is the politics business business."
